left_wrist_angle,right_wrist_angle,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle,left_hip_angle,right_hip_angle,name_yoga
217.9895676778499,202.5534602082142,192.37177738373018,190.6345589969886,177.19170338377123,185.0250622457688,188.44713822634247,187.3316136162036,249.12423812272763,249.14773072093462,102.01646025154125,78.3741324002991,downdog
158.76831362098022,191.9415998575433,92.69009083589533,270.44774605678265,87.63050614509129,87.64846431367444,243.56811228868168,116.51621065329815,154.33161941114003,213.10764369587835,158.73969181333732,155.55975216517245,goddess
253.86885113501882,252.465699686058,183.6833711982848,180.24502745329102,296.8307602457214,62.12874336777349,182.46416893782418,180.08844641525505,232.91495045379972,232.6224123720226,224.226996059774,316.47639637784465,plank
186.79236959719265,166.43574061364416,141.81039376391257,224.41629249129787,188.52906860618086,174.8638364969756,183.66067668142912,23.693125825515928,188.99720320596475,156.08015257991323,83.09989767223368,146.61052599229896,tree
185.97976677680296,175.3769846888239,178.00509933527854,187.72774083927501,94.99200208943468,101.85689233159718,185.96145092397657,115.99698961265149,203.48428650022558,215.1098856849811,128.40480408931737,152.5489542782016,warrior2
184.50891005601287,170.24869692724087,177.8190863087856,176.8226662252542,180.5486836631596,175.1309572589607,183.8597675281551,185.90350862177874,180.79315076654515,172.39064280557645,216.86335668565619,220.80197895289263,urdhva dhanurasana
179.4862336469134,183.82695869843,192.09579577239566,176.36743942611645,182.1103257385328,180.21438523789794,178.83600380882956,179.6670359972363,188.20288222775872,182.86975339995988,140.36776203101445,141.00395731903987,ardha pincha mayurasana
192.64455705880624,164.9054023324412,177.44595243971492,179.9630854635144,160.70873805034887,175.17509968079494,180.9699337910816,184.52806950574887,177.73865091050365,178.5897739122143,95.5402308151292,88.56257026023027,dandasana
182.33214429032756,181.42931525635788,179.66244335067813,179.69064820880158,179.59098997576905,182.49607511658297,189.25126904159941,168.98687344361932,187.8314834092054,179.25403946527373,175.04617787677134,180.25743366966663,anjaneyasana
183.9314525174335,181.071747220412,180.68675082606825,179.7365465351054,175.73592895575166,182.43337112486148,182.0438199501351,180.06516342969377,171.85226798432316,175.94024977551598,239.93638173955864,239.40130444123767,halasana
179.13987835169624,182.77273919709856,179.38146569336465,179.91755139229386,179.42082121511766,177.27014103933223,175.7957376937473,179.38111470875066,181.98682375915166,179.04256002645826,102.69623091426041,103.64557147596616,utkatasana
184.11049448980899,178.5390623695876,189.55842663738085,180.0611387787508,145.45512581775486,187.29592318543723,185.7561623789317,188.2061197071122,174.0473793397577,193.55178094239758,97.1380856971025,84.4728609820154,vajrasana
151.0947736668828,212.14909826935713,172.97620872545062,187.4733812339171,103.35058420783324,102.87788813411335,179.2858681349394,179.44232659182214,179.96965759453187,180.0636454312041,93.29964565538143,94.1928359589969,vasishthasana
187.2911146960051,176.12028094525317,180.26034940098486,180.5614038896177,182.523934561173,177.68739727204573,180.95329061967456,183.03766103648894,181.52267413069202,182.50876489329443,144.93383364786735,140.6394480331944,bitilasana
181.61546742529475,184.23708791901888,181.7307634574554,179.6292474997732,182.46495307163843,178.26953438426787,179.7179738311007,179.00469704600027,181.1902631766272,186.905725133872,170.30805421568968,175.51398538867005,warrior three
190.580539113351,180.62501759094192,183.34325671068595,179.35821304488275,185.902720902116,179.90296266597926,180.57184416643875,178.64968422942505,182.17404782225188,180.26449247699196,166.6832345121657,167.7218613703649,uttanasana
173.48940295163328,187.92321578174992,177.04009898759122,181.1819105312503,144.31337182053912,127.24201180859171,153.8379246467759,223.2085803669516,145.31677624236283,207.5380165128032,156.37268838520436,151.93167009697035,nataraja asana
182.19169975125223,182.45135171407117,195.72539905852187,183.19652264433398,166.7136873010409,194.21695721313498,178.60725722205692,178.36667233706822,183.7215426551204,182.20587449555342,156.88199147699044,154.53774492144103,sarvangasana
180.3039434427144,180.89293788293185,177.68722166772454,178.58458299442822,168.05178098371348,190.86209439985353,170.6338252441062,173.77431853070334,168.8140030620953,181.20115973602185,216.10041159156384,221.55642293247257,ustrasana
207.07020651231323,157.6509953999852,191.59628474037012,169.4631503288876,50.29783454034051,38.785778803941625,339.1708349251611,21.634956646706904,253.642232578781,105.55710895321074,181.58214485029325,182.3829992196887,baddha konasana
